ip,port,anonymous,info,speed
202.107.70.6,80,3,中国-辽宁-丹东,0.35753703117370605
42.235.47.28,8888,3,中国-河南-商丘,0.3599720001220703
121.201.97.137,80,3,中国-广东-中山,0.3671097755432129
124.88.67.31,81,3,中国-新疆-乌鲁木齐,0.3695230484008789
112.112.70.118,80,3,中国-云南-昆明,0.3719809055328369
39.77.37.174,81,3,中国-山东-青岛,0.37273097038269043
122.96.59.102,83,3,中国-江苏-南京,0.37808704376220703
39.65.58.124,81,3,中国-山东-青岛,0.3922867774963379
182.37.22.192,8118,3,中国-山东-日照,0.39285707473754883
122.96.59.99,80,3,中国-江苏-南京,0.4090549945831299
221.219.184.76,81,3,中国-北京-北京,0.40928006172180176
60.191.164.226,3128,3,中国-浙江-台州,0.41228485107421875
94.23.55.182,80,3,法国-法国,0.4182400703430176
61.156.241.197,8080,3,中国-山东-泰安,0.41919684410095215
111.23.4.138,8080,3,中国-湖南,0.4298670291900635
122.193.9.91,80,3,中国-江苏,0.4392280578613281
118.119.254.101,80,3,中国-四川-乐山,0.4491300582885742
120.52.72.21,80,3,中国-河北-廊坊,0.4521639347076416
52.208.126.100,80,3,美国-美国,0.45235681533813477
223.68.1.38,8000,3,中国-江苏-宿迁,0.4544100761413574
118.144.156.2,3128,3,中国-北京-北京,0.46639108657836914
124.74.108.2,80,3,中国-上海-上海,0.47718119621276855
124.88.67.54,80,3,中国-新疆-乌鲁木齐,0.4886050224304199
122.193.14.106,82,3,中国-江苏,0.4893460273742676
124.88.67.54,843,3,中国-新疆-乌鲁木齐,0.49272799491882324
124.88.67.23,81,3,中国-新疆-乌鲁木齐,0.5047528743743896
124.88.67.32,81,3,中国-新疆-乌鲁木齐,0.509619951248169
124.206.133.227,80,3,中国-北京-北京,0.519528865814209
124.88.67.32,83,3,中国-新疆-乌鲁木齐,0.5196270942687988
123.138.89.131,9999,3,中国-陕西-西安,0.5198030471801758
124.88.67.32,80,3,中国-新疆-乌鲁木齐,0.5220649242401123
124.88.67.20,843,3,中国-新疆-乌鲁木齐,0.5263330936431885
124.88.67.17,80,3,中国-新疆-乌鲁木齐,0.5272350311279297
124.88.67.17,83,3,中国-新疆-乌鲁木齐,0.5340530872344971
124.88.67.17,82,3,中国-新疆-乌鲁木齐,0.5359599590301514
122.96.59.107,843,3,中国-江苏-南京,0.5397191047668457
121.52.232.50,80,3,中国-浙江-杭州,0.5453109741210938
124.88.67.23,843,3,中国-新疆-乌鲁木齐,0.5462720394134521
183.61.236.55,3128,3,中国-广东-东莞,0.5497260093688965
61.163.45.240,3128,3,中国-河南-新乡,0.5509030818939209
221.213.44.5,3128,3,中国-云南-昆明,0.5562620162963867
122.232.40.11,8888,3,中国-浙江-嘉兴,0.5719020366668701
121.17.123.54,8080,3,中国-河北-衡水,0.5734541416168213
182.37.119.225,8998,3,中国-山东-日照,0.5773758888244629
67.205.138.103,8080,3,美国-美国,0.5779168605804443
111.23.4.138,8000,3,中国-湖南,0.5929989814758301
116.19.183.160,3128,3,中国-广东-肇庆,0.6046619415283203
58.83.141.73,80,3,中国-北京-北京,0.604964017868042
106.75.176.4,80,3,中国-中国,0.6193180084228516
122.96.59.102,843,3,中国-江苏-南京,0.6219758987426758
220.194.199.179,80,3,中国-河北-石家庄,0.6285309791564941
113.105.186.142,8080,3,中国-广东-东莞,0.6391658782958984
210.13.89.158,8000,3,中国-上海-上海,0.6644351482391357
124.88.67.17,843,3,中国-新疆-乌鲁木齐,0.6693558692932129
218.205.80.8,80,3,中国-浙江-杭州,0.7003519535064697
121.193.143.249,80,3,中国-天津-天津-天津大学,0.7104048728942871
175.42.45.167,8888,3,中国-福建-福州,0.7353010177612305
120.76.217.74,3128,3,中国-广东-深圳,0.74534010887146
218.205.80.2,80,3,中国-浙江-杭州,0.7898690700531006
112.112.70.116,80,3,中国-云南-昆明,0.8114118576049805
163.125.254.167,9000,3,中国-广东-深圳,0.8144559860229492
112.226.116.39,81,3,中国-山东-青岛,0.823296070098877
122.96.59.99,843,3,中国-江苏-南京,0.8480019569396973
220.160.22.115,80,3,中国-福建-福州,0.850848913192749
211.138.151.121,80,3,中国-福建-福州,0.861112117767334
111.12.82.4,80,3,中国-广西-贵港,0.865466833114624
103.54.219.18,8080,3,印度尼西亚-印度尼西亚,0.8658161163330078
118.151.209.114,80,3,印度-印度,0.9107089042663574
122.96.59.98,80,3,中国-江苏-南京,0.9128170013427734
182.36.216.67,8888,3,中国-山东-东营,0.920619010925293
124.88.67.31,843,3,中国-新疆-乌鲁木齐,0.9740111827850342
213.165.155.189,80,3,英国-英国,0.9745810031890869
47.88.195.233,3128,3,新加坡-新加坡,0.9781851768493652
177.200.211.10,8080,3,巴西-巴西,0.9948430061340332
124.88.67.20,80,3,中国-新疆-乌鲁木齐,1.0101149082183838
124.88.67.24,843,3,中国-新疆-乌鲁木齐,1.0163488388061523
